booking_id,worker_id,service_category,skill_name,quantity,scheduled_hour,day_of_week,worker_category,experience_years,certifications_count,has_certifications,is_verified,distance_km,worker_skill_price,worker_skill_price_type,platform_tenure_days,successful_completion
B00012,W00597,Gardener,Plant Care,1,17,2,Gardener,6.0,1,1,1,1.9,357.03,per_day,750,1
B00013,W00226,Carpenter,Furniture Assembly,6,8,4,Carpenter,2.5,1,1,1,7.01,408.84,fixed,2691,0
B00013,W00254,Carpenter,Furniture Assembly,6,8,4,Carpenter,20.0,0,0,1,7.81,683.47,per_visit,2864,1
B00013,W00919,Carpenter,Furniture Assembly,6,8,4,Carpenter,6.5,4,1,1,23.91,420.71,per_hour,233,0
B00013,W00534,Carpenter,Furniture Assembly,6,8,4,Carpenter,7.5,0,0,1,4.24,746.34,per_hour,499,0
B00013,W00039,Carpenter,Furniture Assembly,6,8,4,Carpenter,2.8,2,1,1,2.65,331.4,fixed,530,0
B00013,W00696,Carpenter,Furniture Assembly,6,8,4,Carpenter,0.7,0,0,1,0.5,322.42,fixed,1874,0
B00013,W00148,Carpenter,Furniture Assembly,6,8,4,Carpenter,2.6,1,1,1,10.89,513.61,per_day,2256,1
B00014,W00813,Driver,Elderly Transportation,6,18,0,Driver,5.0,2,1,1,4.44,496.47,fixed,2188,1
B00014,W00737,Driver,Elderly Transportation,6,18,0,Driver,9.4,1,1,1,8.18,426.91,per_hour,2862,0
B00014,W00089,Driver,Elderly Transportation,6,18,0,Driver,5.2,2,1,1,4.77,514.83,per_visit,2979,0
B00014,W00391,Driver,Elderly Transportation,6,18,0,Driver,10.1,1,1,1,11.24,530.29,per_hour,768,0
B00014,W00731,Driver,Elderly Transportation,6,18,0,Driver,6.3,2,1,0,5.53,385.76,per_day,1725,0
B00014,W00489,Driver,Elderly Transportation,6,18,0,Driver,1.2,2,1,0,10.76,371.9,per_visit,1752,1
B00015,W00757,Driver,Local Driving,4,12,0,Driver,9.3,2,1,0,4.52,384.23,per_visit,1091,1
B00015,W00737,Driver,Local Driving,4,12,0,Driver,9.4,1,1,1,2.54,421.37,per_day,2862,0
B00015,W00175,Driver,Local Driving,4,12,0,Driver,8.9,0,0,1,4.81,557.33,per_day,2337,1
B00015,W00550,Driver,Local Driving,4,12,0,Driver,2.7,2,1,0,5.42,283.49,per_day,2338,1
B00015,W00043,Driver,Local Driving,4,12,0,Driver,11.1,1,1,1,0.94,512.52,per_day,1902,1
B00015,W00736,Driver,Local Driving,4,12,0,Driver,7.8,1,1,1,10.56,428.89,fixed,2852,1
B00015,W00080,Driver,Local Driving,4,12,0,Driver,10.8,1,1,0,12.21,567.42,per_visit,1273,0
B00016,W00598,Caregiver,Child Care,5,21,1,Caregiver,4.4,0,0,1,0.98,350.23,per_hour,900,0
B00016,W00545,Caregiver,Child Care,5,21,1,Caregiver,4.7,0,0,0,1.92,337.02,per_hour,1621,1
B00016,W00028,Caregiver,Child Care,5,21,1,Caregiver,10.4,2,1,1,3.8,485.1,fixed,366,1
B00016,W00249,Caregiver,Child Care,5,21,1,Caregiver,7.9,1,1,0,5.69,579.5,per_day,1535,1
B00016,W00882,Caregiver,Child Care,5,21,1,Caregiver,2.2,3,1,1,7.5,205.45,per_visit,1227,0
B00016,W00019,Caregiver,Child Care,5,21,1,Caregiver,3.9,3,1,1,4.23,585.64,per_visit,737,1
B00017,W00190,Carpenter,Furniture Assembly,4,8,0,Carpenter,6.4,1,1,1,1.21,516.32,fixed,619,0
B00017,W00216,Carpenter,Furniture Assembly,4,8,0,Carpenter,16.5,1,1,1,6.34,608.59,per_day,2722,1
B00017,W00152,Carpenter,Furniture Assembly,4,8,0,Carpenter,6.8,0,0,1,14.05,436.6,fixed,398,0
B00017,W00481,Carpenter,Furniture Assembly,4,8,0,Carpenter,5.0,3,1,1,3.52,591.31,per_visit,1723,0
B00017,W00637,Carpenter,Furniture Assembly,4,8,0,Carpenter,5.3,2,1,1,1.05,476.3,per_day,2898,1
B00017,W00989,Carpenter,Furniture Assembly,4,8,0,Carpenter,11.2,0,0,0,2.21,598.04,per_visit,249,0
B00017,W00638,Carpenter,Furniture Assembly,4,8,0,Carpenter,7.1,1,1,1,6.11,346.69,per_visit,2513,1
B00018,W00863,Electrician,Wiring Repair,5,20,4,Electrician,6.5,1,1,1,1.98,576.61,per_hour,192,0
B00018,W00975,Electrician,Wiring Repair,5,20,4,Electrician,4.8,2,1,0,5.35,580.0,per_hour,158,0
B00018,W00198,Electrician,Wiring Repair,5,20,4,Electrician,6.2,0,0,1,3.43,565.06,per_hour,328,1
B00018,W00023,Electrician,Wiring Repair,5,20,4,Electrician,4.8,2,1,1,6.97,427.12,per_hour,2921,1
B00018,W00937,Electrician,Wiring Repair,5,20,4,Electrician,13.9,1,1,1,7.65,562.34,fixed,132,0
B00018,W00682,Electrician,Wiring Repair,5,20,4,Electrician,7.5,1,1,0,13.99,442.21,per_visit,492,0
B00018,W00287,Electrician,Wiring Repair,5,20,4,Electrician,6.0,0,0,1,20.49,574.81,fixed,2471,0
B00019,W00032,Carpenter,Furniture Repair,1,16,2,Carpenter,5.9,2,1,1,5.81,543.95,per_hour,810,1
B00019,W00096,Carpenter,Furniture Repair,1,16,2,Carpenter,2.1,1,1,1,5.25,336.85,per_visit,1982,0
B00019,W00831,Carpenter,Furniture Repair,1,16,2,Carpenter,3.3,0,0,1,16.31,722.83,per_day,1400,0
B00019,W00209,Carpenter,Furniture Repair,1,16,2,Carpenter,6.0,0,0,0,1.0,361.58,fixed,2331,1
B00019,W00933,Carpenter,Furniture Repair,1,16,2,Carpenter,5.5,1,1,1,1.56,428.38,per_day,354,0
B00019,W00216,Carpenter,Furniture Repair,1,16,2,Carpenter,16.5,1,1,1,3.72,504.2,per_hour,2722,1
B00019,W00486,Carpenter,Furniture Repair,1,16,2,Carpenter,9.2,1,1,1,11.11,725.88,per_visit,2212,0
B00020,W00447,Carpenter,Furniture Repair,2,14,1,Carpenter,5.9,2,1,1,6.58,458.58,per_visit,476,1
B00020,W00925,Carpenter,Furniture Repair,2,14,1,Carpenter,28.4,0,0,1,3.3,507.02,per_visit,1994,1
B00020,W00607,Carpenter,Furniture Repair,2,14,1,Carpenter,0.6,1,1,1,4.31,425.36,per_hour,953,1
B00020,W00748,Carpenter,Furniture Repair,2,14,1,Carpenter,3.9,2,1,0,17.04,643.73,per_hour,1729,1
B00020,W00111,Carpenter,Furniture Repair,2,14,1,Carpenter,2.8,0,0,0,5.47,442.41,fixed,1754,1
B00020,W00696,Carpenter,Furniture Repair,2,14,1,Carpenter,0.7,0,0,1,5.9,463.52,fixed,1874,0
B00020,W00988,Carpenter,Furniture Repair,2,14,1,Carpenter,11.6,2,1,1,14.35,595.31,fixed,1252,0
B00021,W00241,Electrician,Electrical Installation,3,12,4,Electrician,5.5,1,1,0,1.22,199.99,fixed,119,1
B00021,W00259,Electrician,Electrical Installation,3,12,4,Electrician,4.9,1,1,1,1.93,596.68,fixed,716,0
B00021,W00873,Electrician,Electrical Installation,3,12,4,Electrician,8.5,0,0,1,4.27,503.84,per_day,1988,0
B00021,W00350,Electrician,Electrical Installation,3,12,4,Electrician,8.7,1,1,0,3.93,707.56,fixed,1888,1
B00021,W00349,Electrician,Electrical Installation,3,12,4,Electrician,2.0,0,0,0,8.31,514.78,per_hour,333,0
B00021,W00009,Electrician,Electrical Installation,3,12,4,Electrician,5.2,1,1,1,9.86,605.84,per_hour,2639,0
B00022,W00745,Caregiver,Elder Care,2,19,1,Caregiver,8.8,1,1,0,15.42,410.48,fixed,1415,0
B00022,W00867,Caregiver,Elder Care,2,19,1,Caregiver,9.4,1,1,1,1.59,370.93,per_visit,812,0
B00022,W00106,Caregiver,Elder Care,2,19,1,Caregiver,12.6,0,0,0,2.0,324.29,per_visit,1661,1
B00022,W00071,Caregiver,Elder Care,2,19,1,Caregiver,4.1,1,1,1,4.07,527.52,per_visit,2129,0
B00022,W00103,Caregiver,Elder Care,2,19,1,Caregiver,11.4,3,1,1,8.58,483.25,per_visit,2063,1
B00022,W00334,Caregiver,Elder Care,2,19,1,Caregiver,7.3,3,1,1,7.26,571.62,per_hour,2450,1
B00023,W00144,Painter,Interior Painting,3,13,1,Painter,2.2,1,1,1,11.28,393.22,per_day,1617,0
B00023,W00301,Painter,Interior Painting,3,13,1,Painter,10.5,0,0,1,2.26,530.57,per_visit,498,1
B00023,W00165,Painter,Interior Painting,3,13,1,Painter,5.8,2,1,0,2.22,428.95,fixed,2880,1
B00023,W00094,Painter,Interior Painting,3,13,1,Painter,0.4,0,0,1,4.73,393.63,fixed,2679,0
B00023,W00909,Painter,Interior Painting,3,13,1,Painter,8.1,1,1,0,6.64,372.08,per_hour,394,0
B00023,W00065,Painter,Interior Painting,3,13,1,Painter,7.9,1,1,1,3.46,575.83,fixed,591,0
B00023,W00777,Painter,Interior Painting,3,13,1,Painter,4.2,1,1,1,1.91,525.06,fixed,314,1
B00024,W00953,Gardener,Plant Care,5,19,6,Gardener,1.1,1,1,0,8.72,295.46,fixed,193,0
B00024,W00570,Gardener,Plant Care,5,19,6,Gardener,5.8,2,1,1,7.45,352.91,per_day,2648,0
B00024,W00394,Gardener,Plant Care,5,19,6,Gardener,6.8,1,1,1,4.92,546.41,per_day,629,0
B00024,W00535,Gardener,Plant Care,5,19,6,Gardener,1.5,1,1,1,1.05,452.98,per_hour,2233,0
B00024,W00323,Gardener,Plant Care,5,19,6,Gardener,16.1,2,1,0,5.85,350.04,per_visit,574,0
B00024,W00372,Gardener,Plant Care,5,19,6,Gardener,2.6,0,0,0,3.84,413.39,per_visit,2125,0
B00024,W00930,Gardener,Plant Care,5,19,6,Gardener,5.1,1,1,1,3.13,405.57,fixed,2407,0
B00025,W00313,Electrician,Wiring Repair,1,10,3,Electrician,5.6,0,0,1,13.18,574.53,per_visit,2013,0
B00025,W00178,Electrician,Wiring Repair,1,10,3,Electrician,5.2,0,0,0,6.62,566.79,fixed,1860,0
B00025,W00888,Electrician,Wiring Repair,1,10,3,Electrician,12.7,1,1,0,14.52,653.89,fixed,1017,0
B00025,W00457,Electrician,Wiring Repair,1,10,3,Electrician,4.6,2,1,1,2.5,488.55,per_hour,2883,1
B00025,W00306,Electrician,Wiring Repair,1,10,3,Electrician,14.9,2,1,1,4.69,515.16,fixed,1595,0
B00025,W00357,Electrician,Wiring Repair,1,10,3,Electrician,4.6,2,1,1,0.43,446.93,fixed,1726,1
B00025,W00704,Electrician,Wiring Repair,1,10,3,Electrician,9.1,1,1,1,1.87,492.16,per_hour,1620,0
B00026,W00134,Gardener,Plant Care,2,14,1,Gardener,5.1,0,0,0,11.02,367.52,per_hour,610,0
B00026,W00343,Gardener,Plant Care,2,14,1,Gardener,2.9,0,0,1,3.5,454.19,per_visit,1036,1
B00026,W00730,Gardener,Plant Care,2,14,1,Gardener,9.4,2,1,0,6.45,501.29,fixed,1117,1
B00026,W00237,Gardener,Plant Care,2,14,1,Gardener,6.7,0,0,0,9.56,342.05,per_day,529,1
B00026,W00394,Gardener,Plant Care,2,14,1,Gardener,6.8,1,1,1,2.55,546.41,per_day,629,1
B00026,W00675,Gardener,Plant Care,2,14,1,Gardener,7.9,0,0,1,5.02,390.37,per_day,1282,1
B00026,W00129,Gardener,Plant Care,2,14,1,Gardener,1.5,1,1,1,3.14,277.61,fixed,2501,0
B00027,W00671,Technician,Appliance Repair,4,18,4,Technician,1.7,1,1,1,11.51,593.96,per_hour,2410,0
B00027,W00364,Technician,Appliance Repair,4,18,4,Technician,2.0,0,0,1,4.49,641.15,per_visit,2288,0
B00027,W00438,Technician,Appliance Repair,4,18,4,Technician,11.9,2,1,1,0.3,323.72,per_hour,619,1
B00027,W00680,Technician,Appliance Repair,4,18,4,Technician,2.7,1,1,1,2.72,427.66,per_hour,72,1
B00027,W00362,Technician,Appliance Repair,4,18,4,Technician,4.6,2,1,1,6.82,640.02,per_day,1828,0
B00027,W00304,Technician,Appliance Repair,4,18,4,Technician,6.4,0,0,1,8.82,484.97,per_hour,751,1
B00027,W00740,Technician,Appliance Repair,4,18,4,Technician,5.4,1,1,0,3.6,715.65,per_day,351,0
B00028,W00384,Carpenter,Door Repair,5,9,6,Carpenter,4.1,2,1,1,13.07,553.76,fixed,2047,1
B00028,W00841,Carpenter,Door Repair,5,9,6,Carpenter,2.9,2,1,1,3.03,405.75,per_day,2400,1
B00028,W00525,Carpenter,Door Repair,5,9,6,Carpenter,8.9,0,0,0,3.21,604.59,per_visit,2146,0
B00028,W00143,Carpenter,Door Repair,5,9,6,Carpenter,7.1,0,0,1,1.5,575.2,per_day,746,1
B00028,W00617,Carpenter,Door Repair,5,9,6,Carpenter,6.6,1,1,1,4.46,806.93,per_hour,772,0
B00028,W00637,Carpenter,Door Repair,5,9,6,Carpenter,5.3,2,1,1,1.69,506.4,per_visit,2898,1
B00029,W00141,Technician,AC Repair,2,0,5,Technician,11.1,0,0,1,8.81,486.88,fixed,283,1
B00029,W00640,Technician,AC Repair,2,0,5,Technician,8.3,2,1,0,8.25,582.3,per_day,2088,0
B00029,W00853,Technician,AC Repair,2,0,5,Technician,6.8,0,0,1,5.95,345.69,per_day,1731,1
B00029,W00355,Technician,AC Repair,2,0,5,Technician,3.1,0,0,1,9.98,553.36,per_hour,1571,1
B00029,W00555,Technician,AC Repair,2,0,5,Technician,5.0,2,1,1,5.21,556.01,per_hour,1359,1
B00029,W00417,Technician,AC Repair,2,0,5,Technician,4.3,2,1,1,4.31,575.09,per_visit,1568,1
B00030,W00992,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,4.4,1,1,1,3.35,391.27,per_visit,1178,1
B00030,W00488,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,2.0,1,1,1,2.19,273.42,per_visit,2029,0
B00030,W00017,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,6.3,1,1,0,3.67,138.62,per_day,1937,1
B00030,W00076,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,1.0,1,1,1,18.45,125.09,fixed,425,1
B00030,W00648,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,6.7,0,0,0,9.06,277.62,per_hour,140,0
B00030,W00330,Cleaner,Bathroom Cleaning,6,22,0,Cleaner,5.0,1,1,1,10.24,342.12,per_day,2221,1
B00031,W00809,Painter,Furniture Painting,1,16,0,Painter,6.6,0,0,1,4.65,360.69,per_visit,343,0
B00031,W00354,Painter,Furniture Painting,1,16,0,Painter,21.7,2,1,1,3.4,506.45,per_day,2725,1
B00031,W00576,Painter,Furniture Painting,1,16,0,Painter,4.5,2,1,1,1.32,482.96,fixed,898,0
B00031,W00738,Painter,Furniture Painting,1,16,0,Painter,4.3,0,0,1,9.67,503.18,per_visit,1465,0
B00031,W00440,Painter,Furniture Painting,1,16,0,Painter,15.6,0,0,1,2.52,557.87,per_hour,1150,1
B00031,W00979,Painter,Furniture Painting,1,16,0,Painter,3.2,1,1,1,10.03,398.94,per_hour,1861,0
B00032,W00502,Gardener,Tree Trimming,6,6,4,Gardener,2.5,0,0,1,3.32,353.93,fixed,889,0
B00032,W00984,Gardener,Tree Trimming,6,6,4,Gardener,6.2,3,1,1,14.34,242.84,per_day,805,0
B00032,W00896,Gardener,Tree Trimming,6,6,4,Gardener,21.4,0,0,1,4.4,378.56,fixed,888,1
B00032,W00192,Gardener,Tree Trimming,6,6,4,Gardener,2.0,0,0,1,4.28,373.07,per_hour,2484,0
B00032,W00720,Gardener,Tree Trimming,6,6,4,Gardener,1.2,1,1,1,9.68,334.03,per_day,1518,1
B00032,W00771,Gardener,Tree Trimming,6,6,4,Gardener,9.5,0,0,1,1.98,375.2,per_day,1862,1
B00032,W00730,Gardener,Tree Trimming,6,6,4,Gardener,9.4,2,1,0,5.76,482.38,per_visit,1117,0
B00033,W00442,Carpenter,Furniture Assembly,1,0,1,Carpenter,11.7,0,0,1,2.37,402.21,per_day,1018,1
B00033,W00299,Carpenter,Furniture Assembly,1,0,1,Carpenter,7.3,1,1,1,1.45,581.06,per_hour,2452,1
B00033,W00505,Carpenter,Furniture Assembly,1,0,1,Carpenter,8.5,2,1,1,2.53,576.11,per_visit,1434,0
B00033,W00154,Carpenter,Furniture Assembly,1,0,1,Carpenter,2.7,4,1,1,3.59,512.07,per_hour,2705,1
B00033,W00799,Carpenter,Furniture Assembly,1,0,1,Carpenter,5.4,3,1,1,0.95,417.82,per_day,1408,1
B00033,W00353,Carpenter,Furniture Assembly,1,0,1,Carpenter,11.1,0,0,0,7.21,559.22,per_day,1830,0
B00033,W00380,Carpenter,Furniture Assembly,1,0,1,Carpenter,1.2,2,1,1,3.75,533.08,per_hour,1556,0
B00034,W00720,Gardener,Tree Trimming,6,18,4,Gardener,1.2,1,1,1,3.12,334.03,per_day,1518,1
B00034,W00842,Gardener,Tree Trimming,6,18,4,Gardener,7.6,1,1,1,4.98,435.91,per_visit,46,0
B00034,W00850,Gardener,Tree Trimming,6,18,4,Gardener,11.4,1,1,0,2.06,387.38,per_hour,1183,1
B00034,W00706,Gardener,Tree Trimming,6,18,4,Gardener,13.1,1,1,1,9.53,395.9,fixed,2987,1
B00034,W00502,Gardener,Tree Trimming,6,18,4,Gardener,2.5,0,0,1,8.5,353.93,fixed,889,1
B00034,W00123,Gardener,Tree Trimming,6,18,4,Gardener,8.2,2,1,1,6.78,531.18,per_visit,2594,0
B00034,W00479,Gardener,Tree Trimming,6,18,4,Gardener,4.2,2,1,0,6.75,429.23,per_hour,1426,1
B00035,W00589,Caregiver,Elder Care,6,10,1,Caregiver,12.8,2,1,1,3.03,342.8,per_visit,1687,1
B00035,W00084,Caregiver,Elder Care,6,10,1,Caregiver,5.0,2,1,1,3.63,330.38,per_hour,1599,0
B00035,W00829,Caregiver,Elder Care,6,10,1,Caregiver,10.2,3,1,1,0.6,569.53,per_day,1122,0
B00035,W00038,Caregiver,Elder Care,6,10,1,Caregiver,5.3,0,0,1,0.57,347.63,per_visit,1701,0
B00035,W00019,Caregiver,Elder Care,6,10,1,Caregiver,3.9,3,1,1,11.22,438.88,per_day,737,0
B00035,W00852,Caregiver,Elder Care,6,10,1,Caregiver,3.3,2,1,0,8.25,578.2,per_hour,1196,0
B00036,W00053,Painter,Exterior Painting,6,17,0,Painter,22.1,3,1,1,5.79,675.5,per_hour,2478,1
B00036,W00585,Painter,Exterior Painting,6,17,0,Painter,8.2,4,1,1,8.05,502.36,per_day,1670,1
B00036,W00795,Painter,Exterior Painting,6,17,0,Painter,7.2,1,1,1,8.11,511.28,per_day,1557,0
B00036,W00630,Painter,Exterior Painting,6,17,0,Painter,25.2,1,1,1,5.4,695.1,per_hour,1671,1
